;density_on_stretching;density;elasticity;hardener;epoxid;temperature;surface_density;resin;cover_angle;cover_step;cover_strength;elasticity_boxcox;surface_density_boxcox;cover_strength_boxcox
0;70.0;2030.0;738.736842105263;30.0;22.2678571428571;100.0;210.0;220.0;0;4.0;57.0;310.7898010518636;43.874100488409695;113.43697880567156
1;70.0;2030.0;738.736842105263;50.0;23.75;284.615384615384;210.0;220.0;0;4.0;60.0;310.7898010518636;43.874100488409695;120.82435477710196
2;70.0;2030.0;738.736842105263;49.9;33.0;284.615384615384;210.0;220.0;0;4.0;70.0;310.7898010518636;43.874100488409695;146.02647224566445
3;70.0;2030.0;738.736842105263;129.0;21.25;300.0;210.0;220.0;0;5.0;47.0;310.7898010518636;43.874100488409695;89.45235859089212
4;70.0;2030.0;753.0;111.86;22.2678571428571;284.615384615384;210.0;220.0;0;5.0;57.0;315.86459818474924;43.874100488409695;113.43697880567156
5;70.0;2000.0;748.0;111.86;22.2678571428571;284.615384615384;210.0;220.0;0;5.0;60.0;314.0873342531985;43.874100488409695;120.82435477710196
6;70.0;1910.0;807.0;111.86;22.2678571428571;284.615384615384;210.0;220.0;0;5.0;70.0;334.9444631825966;43.874100488409695;146.02647224566445
7;75.0;1900.0;535.0;111.86;22.2678571428571;284.615384615384;380.0;120.0;0;7.0;47.0;236.43173328145122;64.33002822364172;89.45235859089212
8;75.0;1930.0;889.0;129.0;21.25;300.0;380.0;120.0;0;7.0;57.0;363.542678603325;64.33002822364172;113.43697880567156
9;78.0;2100.0;1421.0;129.0;21.25;300.0;1010.0;300.0;0;7.0;60.0;540.6138709487076;120.01543701111336;120.82435477710196
10;78.0;2160.0;933.0;129.0;21.25;300.0;1010.0;300.0;0;7.0;70.0;378.71641378749524;120.01543701111336;146.02647224566445
11;78.0;1990.0;1628.0;129.0;21.25;300.0;1010.0;300.0;0;9.0;47.0;606.4900326618949;120.01543701111336;89.45235859089212
12;73.3333333333333;1950.0;827.0;129.0;21.25;300.0;470.0;220.0;0;9.0;57.0;341.9598769688666;73.71871425441228;113.43697880567156
13;73.3333333333333;1980.0;568.0;129.0;21.25;300.0;470.0;220.0;0;9.0;60.0;248.74042542556916;73.71871425441228;120.82435477710196
14;73.3333333333333;1910.0;800.0;129.0;21.25;300.0;470.0;220.0;0;9.0;70.0;332.48267808389795;73.71871425441228;146.02647224566445
15;70.0;2030.0;302.0;129.0;21.25;300.0;210.0;220.0;0;10.0;47.0;145.48098992139907;43.874100488409695;89.45235859089212
16;70.0;1880.0;313.0;129.0;21.25;300.0;210.0;220.0;0;10.0;57.0;149.97587856226764;43.874100488409695;113.43697880567156
17;75.0;1950.0;506.0;129.0;21.25;300.0;380.0;120.0;0;10.0;60.0;225.51683547075564;64.33002822364172;120.82435477710196
18;75.0;1890.0;540.0;129.0;21.25;300.0;380.0;120.0;0;10.0;70.0;238.30414429183372;64.33002822364172;146.02647224566445
19;78.0;1980.0;1183.0;111.86;22.2678571428571;284.615384615384;1010.0;300.0;0;0.0;0.0;462.9733501329043;120.01543701111336;-0.8185070577182526
20;78.0;2000.0;205.0;111.86;22.2678571428571;284.615384615384;1010.0;300.0;1;4.0;47.0;104.58498958501514;120.01543701111336;89.45235859089212
21;73.3333333333333;1920.0;456.0;111.86;22.2678571428571;284.615384615384;470.0;220.0;1;4.0;57.0;206.4634657397468;73.71871425441228;113.43697880567156
22;73.3333333333333;1880.0;622.0;111.86;22.2678571428571;284.615384615384;470.0;220.0;1;4.0;60.0;268.6451333792063;73.71871425441228;120.82435477710196
23;80.8032217605356;1953.27492638743;1136.59613462105;137.62741961242;22.3445335715259;234.716882964809;555.893453315223;246.613116536634;1;4.0;70.0;447.5631383984547;82.06792829713952;146.02647224566445
24;76.1780750811993;1942.59577668332;901.51994673357;146.252207766867;23.0817574798037;351.231873967312;864.725483802792;226.222760364565;1;5.0;47.0;367.8719803932046;108.74328595279984;89.45235859089212
25;73.8170666194231;2037.63181118987;707.570887009741;101.617251334785;23.146392813099;312.307205242628;547.601218644053;178.198555892297;1;5.0;57.0;299.6471962335782;81.2840188413432;113.43697880567156
26;77.210761575252;2018.22033158733;836.294381561619;135.401696554643;26.4355145955444;327.51037669861;150.961448500303;123.34456143249;1;5.0;60.0;345.21102391785115;35.381131543122095;120.82435477710196
27;72.3457087941471;1917.90750636706;478.286247339653;105.786929571358;17.8740999097888;328.15457946162;526.692159405927;275.5758795221;1;5.0;70.0;214.99435281977006;79.2874116395438;146.02647224566445
28;74.511359223088;1892.07112380677;641.052549404649;96.5632931903446;22.9892905613243;262.956721990283;804.59262075019;126.816338870833;1;7.0;47.0;275.60256254893307;103.87266261754151;89.45235859089212
29;72.2449240783816;2008.35759183338;393.967325455383;149.372832370371;21.6617506765061;330.498640996826;535.371459116834;261.077071612965;1;7.0;57.0;182.3612105121755;80.11972923966457;113.43697880567156
30;75.6657005566096;1973.62909661136;991.724094559311;149.372127890098;19.750577886982;232.058191344622;485.45377805732;162.493693621344;1;7.0;60.0;398.795283776173;75.26045507822668;120.82435477710196
31;70.9475915609757;1872.49155988411;801.033882540326;79.7945478731184;22.2963037219206;340.736898443345;864.929183708856;123.356264267511;1;7.0;70.0;332.84648874803844;108.75956592706454;146.02647224566445
32;67.4787066266392;2010.04701192391;339.550422757456;67.4989930617371;24.2806090209505;254.949083669843;117.535234207925;207.018581295981;1;9.0;47.0;160.7255192606021;30.01567427409579;89.45235859089212
33;75.2904522177158;1912.31543664458;1183.09184548451;133.549000743282;23.2637965673584;314.996125461987;377.389009428455;200.580249351275;1;9.0;57.0;463.00375621306955;64.04592972961959;113.43697880567156
34;71.7008556184055;1879.9698456543;1003.27017753553;109.239530469489;25.6827594776929;294.048536607078;408.354239337243;192.191162092306;1;9.0;60.0;402.72094544393883;67.3697030803645;120.82435477710196
35;69.341132877179;1813.23459997756;757.874478991465;81.3798708371328;23.4224652380694;279.080157491732;575.062857120828;252.87056880778;1;9.0;70.0;317.5954712494538;83.86358262604858;146.02647224566445
36;74.2443541741854;1908.94060108184;530.228686361803;58.2624142792189;24.0735492275228;325.138687978497;456.90804669773;222.699487259763;1;10.0;47.0;234.64241055810166;72.39772058903516;89.45235859089212
37;72.3416397334948;1977.33904724926;1572.09604227992;132.343059816683;25.3970009790122;286.55643085455;690.364835735948;271.901393688095;1;10.0;57.0;588.8352485265145;94.22739135107032;113.43697880567156
38;71.4790604659631;2085.49583722341;931.310636063099;110.564839894065;23.4871397611806;270.286765096589;278.230020274264;187.861372739767;1;10.0;60.0;378.13591967259305;52.63642468582775;120.82435477710196
39;76.4717884703426;2078.89467612972;1542.1684576617;132.147403310926;22.6501091996101;357.972896225409;787.299217034787;163.902778015018;1;10.0;70.0;579.3437794169079;102.44700345784909;146.02647224566445
40;75.0903717369656;1968.40138797479;455.87101881671;61.4212965247638;23.4907229119055;316.414572148037;637.376892656562;311.052397919637;0;7.85616654701846;64.3019638481212;206.4139065887624;89.55209162084398;131.56058537530882
41;66.4207943619588;1936.09913728867;1056.55498512092;71.2940582201344;24.5233806974229;271.975678290965;129.0771628561;227.02255734554;0;7.40154256701157;19.2505331367488;420.74780459228606;31.925951762531405;29.52406229819188
42;69.4897734806242;1996.15914531562;525.05777410666;77.506882539453;18.1261070575147;223.408685433481;28.6581023413458;314.776668711928;0;6.6757803392663;78.6232993394774;232.70038840591454;11.46345221405839;168.41468288413148
43;73.4546945165033;1965.92922694261;899.603701021752;102.959068581182;19.5667162363837;225.810222871408;871.088954822428;91.047646334499;0;7.5263983201197;38.176975316573;367.2099692211188;109.25118874849194;69.20688011002518
44;69.8146151618113;2049.3734037036;382.263358534453;81.3520473688647;16.3915947268609;233.296062693547;561.992130838731;303.075452369361;0;8.32569922025696;46.0454276299509;177.74951372195937;82.64168333840732;87.21801121903384
45;75.9573285670879;1913.37967697839;822.9187354835;143.576937132067;24.2755880964038;274.988794415536;260.859341082141;248.244329856063;0;7.65621087508853;33.5710235584788;340.5304619178138;50.490133058896575;59.03009178516453
46;71.303989767743;1963.35156013111;1155.16050409361;150.015829771817;18.2994213764344;315.904178072587;644.363142054109;304.423274095783;0;10.3029447225773;39.2342797929543;453.7397391599027;90.17660261762336;71.58288705463067
47;74.6809132551444;1984.51137289759;1405.78682165894;130.942797937247;21.8292399010645;288.95209880887;161.007718499953;228.867719644237;0;8.94689112067868;72.0845940916646;535.7154923906364;36.903897579704136;151.38541732639342
48;76.340207250164;1986.34905262266;809.293803508733;95.0890218408534;19.3649257190022;205.499760973999;196.357642664904;289.957141572361;0;3.74662497721847;57.997772182102;335.75042936635316;42.000706524270264;115.8846179195656
49;70.3554640267673;1991.78978866553;1250.19827510079;116.856462171446;21.5732649493152;320.740172497546;755.500555164435;189.88330728957;0;9.09436367744417;44.8016005719315;485.12332122051635;99.79460731338179;84.32199477158379
50;73.0164888868577;1987.25985886021;403.395230243573;112.719826048096;19.3905110709324;336.245383730252;352.831983527717;206.693378878874;0;6.30377284560279;72.1520187318852;186.06050807599948;61.336932420527475;151.55932750067652
51;72.7694732165961;1940.73923718186;347.991750411159;111.969772877024;18.8002833612162;304.190488336488;229.928336911591;226.422645257059;0;7.2579618310852;50.2198355345044;164.1152831072706;46.530936032887176;97.06235192935154
52;64.6964003954224;1956.0872973781;622.7227580118;115.70972016857;21.0433175526934;236.883671599211;393.39543680609;188.274123032686;0;6.54799294442016;74.2188766056854;268.90966495381355;65.77625913623615;156.9077693484627
53;69.3828660743641;2057.93919253743;939.859008839481;136.323974578022;23.3292718838398;292.625715602231;523.847248646196;219.321971333448;0;6.1461253214983;70.3554043303719;381.07160259615347;79.01348064187233;146.93765478104694
54;69.8021906297403;2065.51787986419;553.620936055687;120.69587752402;24.431893660076;308.978564926445;234.16167437556;266.13830124966;0;10.0507182797683;74.1566656499943;243.39129562931447;47.08406629487612;156.74629840909407
